33:a)  0,25
35:b)  
37:c)  
39:d)  
41:e)  2,1230012579\...
45:a)  Decimal exato é racional.
47:b)  O número pi é irracional.
49:c)  Toda fração é racional.
51:d)  A raiz quadrada de 7 não é exata, está entre os números naturais 2 e
54:e)  Este número trata-se de uma dízima **não** periódica, ou seja,
69:a)  
71:b)  -- 1,8
73:c)  
156:a)  256
158:b)  1250
160:c)  4800
164:a)  256 = 2^8^
166:b)  1250 = 2 · 5^4^
168:c)  4800 = 2^6^ · 3 · 5^2^
175:a)  
176:b)  
180:a)  360
182:b)  4725
201:a)  5
203:b)  4
205:c)  3
207:d)  **2**
228:a)  A
230:b)  B
232:c)  C
234:d)  **D**
238:a)  Falso, 10 é múltiplo de 5 e não é ímpar.
240:b)  Falso, 3 é ímpar e não é múltiplo de 5.
242:c)  Falso, 2 é par e não é múltiplo de 6.
244:d)  Verdadeiro, como o 12 é par todo múltiplo deste número terá o
257:a)  A
259:b)  B
261:c)  C
263:d)  **D**
500:a)  2
502:b)  4
504:c)  6
506:d)  **8**
522:a)  Segunda
524:b)  Terça
526:c)  **Quarta**
528:d)  Sexta
549:a)  **5 brigadeiros, 4 beijinhos, 30 pacotes de cada.**
551:b)  15 brigadeiros, 12 beijinhos, 10 pacotes de cada.
553:c)  10 brigadeiros, 12 beijinhos, 15 pacotes de cada.
555:d)  3 brigadeiros, 3 beijinhos, 90 pacotes de cada.
587:a)  m\.
589:b)  **m.**
591:c)  m\.
593:d)  m\.
609:periódico).
757:a)  ![Gráfico, Gráfico de barras Descrição gerada
761:b)  ![](./_SAEB_9_MAT/media/image48.png){width="1.0772823709536308in"
764:c)  ![](./_SAEB_9_MAT/media/image49.png){width="1.0052077865266842in"
767:d)  ![](./_SAEB_9_MAT/media/image50.png){width="0.9751038932633421in"
799:a)  $\frac{1}{16}$
801:b)  $\frac{3}{25}$
803:c)  $\frac{\mathbf{9}}{\mathbf{48}}$
805:d)  $\frac{5}{16}$
822:a)  Alice e Bruno.
824:b)  Bruno e Augusto.
826:c)  **Alice e Augusto.**
828:d)  Augusto e Cadu.
842:a)  $\frac{126}{1000}$
844:b)  $\frac{14}{111}$
846:c)  $\frac{126}{990}$
848:d)  $\frac{63}{99}$
860:a)  12
862:b)  24
864:c)  36
866:d)  48
893:a)  ![](./_SAEB_9_MAT/media/image54.png){width="2.1168503937007874in"
896:b)  ![](./_SAEB_9_MAT/media/image55.png){width="2.1085159667541555in"
899:c)  ![](./_SAEB_9_MAT/media/image56.png){width="2.083513779527559in"
902:d)  ![](./_SAEB_9_MAT/media/image57.png){width="2.1085159667541555in"
1054:a)  **13,5%**
1056:b)  10%
1058:c)  5%
1060:d)  0,5%
1150:a)  R\$ 645,00
1152:b)  R\$ 1.290,00
1154:c)  **R\$ 1.505,00**
1156:d)  R\$ 2.120,00
1173:a)  **40%**
1175:b)  50%
1177:c)  60%
1179:d)  90%
1196:a)  532
1198:b)  **425,60**
1200:c)  420,00
1202:d)  404,32
1514:a)  R\$ 80,00
1516:b)  R\$ 85,00
1518:c)  R\$ 90,00
1520:d)  R\$ 130,00
1534:a)  20
1536:b)  30
1538:c)  40
1540:d)  50
2361:comportamento).
2936:a)  260 000
2938:b)  300 000
2940:c)  320 000
2942:d)  400 000
2960:a)  (1,0)
2962:b)  (2,1)
2964:c)  (3,0)
2966:d)  (4,-3)
3005:figura).
3148:a)  Prisma, Prisma
3150:b)  Prisma, Cone
3152:c)  Pirâmide, Prisma
3154:d)  Prima, Pirâmide
3573:a)  2
3575:b)  2,5
3577:c)  3
3579:d)  4
3596:a)  I
3598:b)  II
3600:c)  III
3602:d)  IV
3620:a)  12º
3622:b)  20º
3624:c)  24º
3626:d)  48º
3795:a)  R
3797:b)  T
3799:c)  S
3801:d)  P
3922:a)  100 m
3924:b)  200 m
