id,name,standard_price,list_price,Cost
__export__.product_template_803_594506b3,1964 (Angela Alonso; Miriam Dolhnikoff. Editora Hedra) [HIS033000],"1,00","129,00",25.8
__export__.product_template_113915_c15d1f54,"1967, meio século depois (Felipe Scovino; Frederico Coelho; Pedro Duarte; Sérgio Bruno Martins. Editora Circuito) [ART037000]","0,00","109,00",21.8
__export__.product_template_807_292b52e6,A Autobiografia do poeta-escravo (Juan Francisco Manzano. Editora Hedra) [BIO006000],"0,00","79,00",15.8
__export__.product_template_813_6bcd418f,A Cruzada das crianças / Vidas imaginárias (Marcel Schwob. Editora Hedra) [FIC014000],"0,00","61,48",12.296
__export__.product_template_814_5bb312a3,A Decadência do analfabetismo / A arte de birlibirloque (José Bergamín. Editora Hedra) [PHI035000],"0,00","41,46",8.292
__export__.product_template_815_d7297116,A Demanda do Santo Graal (Anônimo. Editora Hedra) [FIC010000],"0,00","159,90",31.98
__export__.product_template_817_4f6793ca,A Farsa de Inês Pereira (Gil Vicente. Editora Hedra) [DRA004040],"0,00","45,46",9.092
__export__.product_template_818_85ff8c43,A Filosofia na era trágica dos gregos (Friedrich Nietzsche. Editora Hedra) [PHI002000],"0,00","52,33",10.466
__export__.product_template_826_c46cfb0a,A Monadologia e outros textos (Gottfried Leibniz. Editora Hedra) [PHI005000],"0,00","49,00",9.8
__export__.product_template_828_ce1cece0,A Nostálgica e outros contos (Aléxandros Papadiamántis. Editora Hedra) [FIC029000],"0,00","70,64",14.128
__export__.product_template_831_766f1ce2,A Raposa sombria (Sjón. Editora Hedra) [YAF030000],"0,00","44,32",8.864
__export__.product_template_837_15460bb4,A Velha Izerguil e outros contos (Maksim Górki. Editora Hedra) [FIC004000],"0,00","62,63",12.526
__export__.product_template_838_5b9dcee9,A Vida de H.P. Lovecraft (S.T. Joshi. Editora Hedra) [BIO007000],"0,00","169,00",33.8
__export__.product_template_839_7464d770,A Vida de Mat (Mino Carta. Editora Hedra) [FIC027000],"0,00","65,48",13.096
__export__.product_template_841_fe9c7d70,A Vida é sonho (Calderón de La Barca. Editora Hedra) [DRA004040],"0,00","39,00",7.8
__export__.product_template_842_b057b1c5,A Volta do parafuso (Henry James. Editora Hedra) [FIC031070],"0,00","59,00",11.8
__export__.product_template_844_e3e22bc9,A Vênus das peles (Leopold Von Sacher-Masoch. Editora Hedra) [FIC005010],"0,00","69,00",13.8
__export__.product_template_845_8f382ebe,A Vênus das peles [Bolso] (Leopold Von Sacher-Masoch. Editora Hedra) [FIC005010],"0,00","61,48",12.296
__export__.product_template_804_8787ccfb,A arte da guerra (Nicolau Maquiavel; Renato Ambrosio. Editora Hedra) [POL014000],"0,00","94,08",18.816
__export__.product_template_805_f4c556cf,A arte de contar histórias (Walter Benjamin; Patrícia Lavelle; Georg Otte; Marcelo Backes; Amon Pinho; Francisco Machado. Editora Hedra) [PHI000000],"0,00","97,52",19.504
__export__.product_template_1317_a364573a,A bela e a fera e outros contos da carochinha (Alberto Pimentel. Editora Hedra) [FIC010000],"0,00","54,00",10.8
__export__.product_template_809_c1417cd8,A carteira de meu tio (Joaquim Manuel de Macedo; Leandro Thomaz de Almeida. Editora Hedra) [FIC004000],"0,00","67,78",13.556
__export__.product_template_112393_fc89d4c1,A cena lenta (Cláudio Oliveira. Editora Circuito) [POE012000],"0,00","30,00",6
__export__.product_template_1318_c3d09250,A cidade e as serras (Eça de Queiroz; Caio Gagliardi. Editora Hedra) [FIC004000],"0,00","103,81",20.762
__export__.product_template_1320_4ad39a9f,A conjuração de Catilina (Salústio; Adriano Scatolin. Editora Hedra) [HIS002020],"0,00","53,48",10.696
__export__.product_template_811_84ba1d5e,A constituição da tradição clássica (Luiz Marques. Editora Hedra) [ART015000],"0,00","84,00",16.8
__export__.product_template_812407_181fb21b,"A demanda do Santo Graal: o manuscrito de Heidelberg (Livro do Estudante, Impresso. Ayllon Editora) [PNLD2021] (cópia)","0,00","44,00",8.8
__export__.product_template_124288_b0a78f80,A demanda do Santo Graal: o manuscrito de Heidelberg (Livro do Estudante. Ayllon Editora) [PNLD2021],"0,00","22,95",4.59
__export__.product_template_124287_bcb03017,A demanda do Santo Graal: o manuscrito de Heidelberg (Manual do Professor. Ayllon Editora) [PNLD2021],"0,00","37,17",7.434
__export__.product_template_122137_d394dbdd,A escrava (Maria Firmina dos Reis; Rodrigo Jorge Ribeiro Neves. Editora Hedra) [FIC029000],"0,00","59,00",11.8
__export__.product_template_124242_35de2343,A estranha força da canção (Mário de Andrade; Luís Augusto Fischer. Acorde) [MUS020000],"0,00","75,90",15.18
__export__.product_template_114340_0dbe7b50,A ideia de cinema na arte contemporânea brasileira (Katia Maciel. Editora Circuito) [ART057000],"0,00","113,53",22.706
__export__.product_template_1323_0e572fe4,A imprensa carnavalesca no Brasil (José Ramos Tinhorão. Editora Hedra) [HIS054000],"0,00","48,00",9.6
__export__.product_template_1324_890f727b,A invenção da pornografia (Lynn Hunt. Editora Hedra) [HIS054000],"0,00","66,00",13.2
__export__.product_template_1325_e2fe0e05,A liberação da mosca (Luigi Amara. Editora Circuito) [LIT004100],"0,00","30,00",6
